time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
7.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
7.500000,GW,1,RETURN_FEEDER_CH,0,1,21.914864,183.760424,0.000000,-84.353893,21.914864,240
7.500000,GW,2,RETURN_FEEDER_CH,0,2,21.837693,185.020651,0.000000,-87.194902,21.837693,360
8.000000,UT,1,FORWARD_USER_CH,0,18,24.646932,183.812289,0.000000,-80.018928,24.646932,180
8.000000,UT,2,FORWARD_USER_CH,0,18,24.641405,183.296735,0.000000,-80.451988,24.641405,180
8.000000,UT,3,FORWARD_USER_CH,0,18,24.620852,184.199428,0.000000,-81.768067,24.620852,180
8.000000,UT,4,FORWARD_USER_CH,0,19,23.697527,182.461410,0.000000,-93.265639,23.697527,150
8.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
8.000000,GW,1,RETURN_FEEDER_CH,0,1,21.914864,183.757410,0.000000,-84.353893,21.914864,240
8.000000,GW,2,RETURN_FEEDER_CH,0,2,21.833358,185.020940,0.000000,-87.311555,21.833358,420
8.500000,UT,1,FORWARD_USER_CH,0,18,24.647174,183.801879,0.000000,-79.998971,24.647174,210
8.500000,UT,2,FORWARD_USER_CH,0,18,24.641532,183.285953,0.000000,-80.442523,24.641532,210
8.500000,UT,3,FORWARD_USER_CH,0,18,24.621619,184.188631,0.000000,-81.725413,24.621619,210
8.500000,UT,4,FORWARD_USER_CH,0,19,23.688107,182.445365,0.000000,-93.311147,23.688107,180
8.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
8.500000,GW,1,RETURN_FEEDER_CH,0,1,21.912172,183.754418,0.000000,-84.490422,21.912172,270
8.500000,GW,2,RETURN_FEEDER_CH,0,2,21.828788,185.021246,0.000000,-87.431339,21.828788,450
9.000000,UT,1,FORWARD_USER_CH,0,18,24.647412,183.791474,0.000000,-79.979265,24.647412,210
9.000000,UT,2,FORWARD_USER_CH,0,18,24.641653,183.275180,0.000000,-80.433458,24.641653,210
9.000000,UT,3,FORWARD_USER_CH,0,18,24.622372,184.177835,0.000000,-81.683114,24.622372,210
9.000000,UT,4,FORWARD_USER_CH,0,19,23.677683,182.429305,0.000000,-93.361075,23.677683,180
9.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
9.000000,GW,1,RETURN_FEEDER_CH,0,1,21.912172,183.751448,0.000000,-84.490422,21.912172,270
9.000000,GW,2,RETURN_FEEDER_CH,0,2,21.823965,185.021571,0.000000,-87.554427,21.823965,510
9.500000,UT,1,FORWARD_USER_CH,0,18,24.647645,183.781076,0.000000,-79.959807,24.647645,240
9.500000,UT,2,FORWARD_USER_CH,0,18,24.641768,183.264415,0.000000,-80.424794,24.641768,240
9.500000,UT,3,FORWARD_USER_CH,0,18,24.623111,184.167041,0.000000,-81.641166,24.623111,240
9.500000,UT,4,FORWARD_USER_CH,0,19,23.666187,182.413229,0.000000,-93.415614,23.666187,210
9.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
9.500000,GW,1,RETURN_FEEDER_CH,0,1,21.909288,183.748501,0.000000,-84.632196,21.909288,300
9.500000,GW,2,RETURN_FEEDER_CH,0,2,21.818865,185.021915,0.000000,-87.681009,21.818865,540
10.000000,UT,1,FORWARD_USER_CH,0,18,24.647875,183.770685,0.000000,-79.940598,24.647875,240
10.000000,UT,2,FORWARD_USER_CH,0,18,24.641878,183.253660,0.000000,-80.416532,24.641878,240
10.000000,UT,3,FORWARD_USER_CH,0,18,24.623838,184.156249,0.000000,-81.599562,24.623838,240
10.000000,UT,4,FORWARD_USER_CH,0,19,23.653544,182.397138,0.000000,-93.474975,23.653544,210
10.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
10.000000,GW,1,RETURN_FEEDER_CH,0,1,21.909288,183.745576,0.000000,-84.632196,21.909288,300
10.000000,GW,2,RETURN_FEEDER_CH,0,2,21.813466,185.022276,0.000000,-87.811287,21.813466,600
10.500000,UT,1,FORWARD_USER_CH,0,18,24.648101,183.760300,0.000000,-79.921635,24.648101,270
10.500000,UT,2,FORWARD_USER_CH,0,18,24.641982,183.242914,0.000000,-80.408671,24.641982,270
10.500000,UT,3,FORWARD_USER_CH,0,18,24.624552,184.145458,0.000000,-81.558297,24.624552,270
10.500000,UT,4,FORWARD_USER_CH,0,19,23.639669,182.381032,0.000000,-93.539396,23.639669,240
10.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
10.500000,GW,1,RETURN_FEEDER_CH,0,1,21.906238,183.742674,0.000000,-84.777323,21.906238,330
10.500000,GW,2,RETURN_FEEDER_CH,0,2,21.807740,185.022656,0.000000,-87.945487,21.807740,630
11.000000,UT,1,FORWARD_USER_CH,0,18,24.648323,183.749901,0.000000,-79.902880,24.648323,270
11.000000,UT,2,FORWARD_USER_CH,0,18,24.642082,183.232155,0.000000,-80.401199,24.642082,270
11.000000,UT,3,FORWARD_USER_CH,0,18,24.625255,184.134649,0.000000,-81.517283,24.625255,270
11.000000,UT,4,FORWARD_USER_CH,0,19,23.624434,182.364878,0.000000,-93.609283,23.624434,240
11.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
11.000000,GW,1,RETURN_FEEDER_CH,0,1,21.906238,183.739789,0.000000,-84.777323,21.906238,330
11.000000,GW,2,RETURN_FEEDER_CH,0,2,21.801891,185.023055,0.000000,-88.078578,21.801891,690
11.500000,UT,1,FORWARD_USER_CH,0,18,24.648558,183.739530,0.000000,-79.882974,24.648558,300
11.500000,UT,2,FORWARD_USER_CH,0,18,24.642137,183.221427,0.000000,-80.396999,24.642137,300
11.500000,UT,3,FORWARD_USER_CH,0,18,24.625928,184.123862,0.000000,-81.477653,24.625928,300
11.500000,UT,4,FORWARD_USER_CH,0,19,23.612029,182.348741,0.000000,-93.665545,23.612029,270
11.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
11.500000,GW,1,RETURN_FEEDER_CH,0,1,21.903092,183.736933,0.000000,-84.922261,21.903092,360
11.500000,GW,2,RETURN_FEEDER_CH,0,2,21.795935,185.023471,0.000000,-88.210228,21.795935,720
12.000000,UT,1,FORWARD_USER_CH,0,18,24.648787,183.729166,0.000000,-79.863456,24.648787,300
12.000000,UT,2,FORWARD_USER_CH,0,18,24.642182,183.210709,0.000000,-80.393611,24.642182,300
12.000000,UT,3,FORWARD_USER_CH,0,18,24.626586,184.113078,0.000000,-81.438584,24.626586,300
